sourceTaxonName,sourceTaxonRank,sourceTaxonSpeciesName,interactionTypeName,targetTaxonName,targetTaxonRank,targetTaxonSpeciesName,decimalLatitude,decimalLongitude,localityId,localityName,interaction_pair,interaction_pair_fraction,patch_name
Brycon amazonicus,species,Brycon amazonicus,eats,Ficus pertusa,species,Ficus pertusa,-1.275555,-69.73055,Caqueta,Colombia,Brycon amazonicus_Ficus pertusa,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Euterpe precatoria,species,Euterpe precatoria,-1.275555,-69.73055,Caqueta,Colombia,Brycon falcatus_Euterpe precatoria,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Cecropia latiloba,species,Cecropia latiloba,-1.275555,-69.73055,Caqueta,Colombia,Cecropia latiloba_Myloplus torquatus,5.252994732296882e-07,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Annona hypoglauca,species,Annona hypoglauca,-1.275555,-69.73055,Caqueta,Colombia,Annona hypoglauca_Mylossoma duriventris,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Bothriospora corymbosa,species,Bothriospora corymbosa,-1.1451111,-69.487222,Apaporis,Colombia,Bothriospora corymbosa_Myloplus torquatus,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Oxandra leucodermis,species,Oxandra leucodermis,-1.275555,-69.73055,Caqueta,Colombia,Brycon amazonicus_Oxandra leucodermis,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Mauritiella aculeata,species,Mauritiella aculeata,-1.1451111,-69.487222,Apaporis,Colombia,Mauritiella aculeata_Myloplus torquatus,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Stachyarrhena penduliflora,species,Stachyarrhena penduliflora,-1.275555,-69.73055,Caqueta,Colombia,Brycon falcatus_Stachyarrhena penduliflora,5.252994732296882e-07,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Zygia longifolia,species,Zygia longifolia,-1.275555,-69.73055,Caqueta,Colombia,Mylossoma duriventris_Zygia longifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Genipa americana,species,Genipa americana,-1.275555,-69.73055,Caqueta,Colombia,Brycon falcatus_Genipa americana,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Cecropia distachya,species,Cecropia distachya,-1.1451111,-69.487222,Apaporis,Colombia,Brycon falcatus_Cecropia distachya,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus rubripinnis,species,Myloplus rubripinnis,eats,Nectandra oppositifolia,species,Nectandra oppositifolia,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus rubripinnis_Nectandra oppositifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus asterias,species,Myloplus asterias,eats,Psychotria lupulina,species,Psychotria lupulina,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus asterias_Psychotria lupulina,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus rubripinnis,species,Myloplus rubripinnis,eats,Byrsonima japurensis,species,Byrsonima japurensis,-1.1451111,-69.487222,Apaporis,Colombia,Byrsonima japurensis_Myloplus rubripinnis,5.252994732296882e-07,Patch_-5_0_-72_-68
